Speaker Name,Speaker Title,Speaker Company
Mariangela Toscano,Digital Engineering & BIM Manager,Mace
Marie-Claude Hemming,Director of Operations,CECA
Mark Beardmore,Director of Project Management,Jacobs
Matt Dawson,"MBE, Ambassador",Former England Rugby World Cup Winner
Matt Hodges-Long,Co-Founder,Track My Risks
Matt Perkins,Senior Associate Building Surveyor,Ridge and Partners
Matt Sharp,Chief Digital Officer,RLB & RLB Digital
Matt Wilkie,Asset Surveyor,
Matthew Osment,Founder,Shift Construction
Matthew Punter,PhD Researcher,University of Bath
Maurice Van Sante,Senior Construction Economist,ING Bank
May Winfield,"Global Director of Commercial, Legal & Digital Risks",Buro Happold
Megan Hughes,Digital Construction Manager,XD House
Megha Nagendra Wells,Technical Director,Sweco UK & I
Michael Awe,PhD Candidate,Bournemouth University
Michael East,Senior Strategic Product Consultant,Procore
Michael Heron,"Environmental, Social & Governance Lead",Gilbert Ash
Michael Ren,Marketing Manager,CSC Robotic Engineering
Miguel Machado,Associate – BIM Lead,John McAslan & Partners
Mike Edwards,Building Surveying Partner,Ridge and Partners
Mike Ford,Digital Engineering Senior Associate,Ridge and Partners
Mike Hartley,Head of BIM & Information Management (Buildings UK),Ramboll
Mike Karl,"VP, Global Digital Leader, Water",AECOM
Mike Young,Laing O'Rourke,
Mo Shana’a,CEO & Co-Founder,Morta
Mohannad Altabbal,Senior Customer Success Manager,Graphisoft
Musonda Veronica Malama,Microsoft D365 Programme Manager,MVM Consulting
Naoki Kitamura,Founder & CEO,Tektome
Naomi Gilford,Senior Information Manager,AtkinsRéalis
Nastasia Bassil,Senior Sustainability Consultant,BDP
Natalie Green,FM Innovations Director,Sodexo
Nathan Cubley,Solutions Engineer,OpenSpace
Nathan Doughty,CEO & Co-Founder,Asite
Nathan Marsh,"Regional Executive, Senior Vice President: Europe, Middle East, Africa",Bentley Systems
Nathan Reid,Project Manager,Urban&Civic
Neil Brammall,Technical Advisor,"GDS, Geospatial"
Neil Yeomans,Head of Property Safety & Technology,Orbit Group
Nick Elms,IT Director,VolkerWessels
Nick Leach,Director of Digital Construction,Sir Robert McAlpine
Nick Tyrer,Associate Director,BDP Pattern
Nigel Davies,Director,Evolve Consultancy
Nigel Stroud,Principal Digital Asset Data Lead,Heathrow
Nimrod Friedmann,Bentley,
Nohman Awan,Digital Construction Lead,Balfour Beatty
Noor Alawi,PhD Researcher,Leeds Beckett University
Omar Jose Loh Moreno,"Quality, Systems and Technology Director for UK & Ireland",Ferrovial Construction
Pål Janson,Product Solution Manager,Service Works Global
Parisa Shirazi,Director of standards,WorldSkills UK
Patrick Cope,Account Director,Buildots
Paul Arpino,Laing O'Rourke,
Paul Bamforth,Head of AI and Data,Buildots
Paul Devlin,CEO,Causeway Technologies
Paul Drayton,Head of Digital – Europe,Laing O’Rourke
Paul French,Head of Digital Construction,Saint-Gobain Interior Solutions
Paul Shillcock,Director,Operam Academy
Paul Wilkinson,Nima Vice Chair,nima
Paula Mota,Managing Consultant,Assystem
Pavlina Nikolova,"AEC Practice Lead, EMEA",Egnyte
Pedro Santos,BIM Engineer,Rolls-Royce SMR
Pencho Studenkov,Places for People,
Phil Broadbent,Product Owner,Causeway
Phil Hannabuss,Solutions Engineer,Asite
Phil Thompson,Digital Construction Practitioner,Information Management Squared
Philippa Doughty,Environmental Data Analyst,Skanska Costain STRABAG JV
Pierre Monico,Founder,Sortdesk
Pierre Saunal,Co-Founder & Architect,airc.digital
Pierre-Louis Knowles,NVIDIA Alliance Manager,Deloitte
Prakash Senghani,CEO & Founder,Navatech
Prof Richard Kingston,Professor of Urban Planning and GISc,University of Manchester
Prof Sarah Davidson,"Professor of Information Management, Co-Editor and author of the UK BIM Framework Guidance and project lead",The University of Nottingham
Prof. Dr Hamal Oussama,Assistant Professor,National School of Architecture
Rachel Heaton,Construction Engagement Manager,GS1 UK
Rahul Sehgal,Principal Consultant,Turner and Townsend
Raina Armstrong,Digital Operations Specialist,Architype
Remi Dornier,"Vice President Industry Architecture, Engineering & Construction",Dassault Systèmes
Rene van Zwijndrecht,BIM and Information Management Lead,Radcliffes Digital
Rhys Davies,Building Surveying Partner,Ridge and Partners
Rhys Lewis,"Director, EMEA",Revizto
Rhys-Evans Edet,Co-Owner,MMC Build and The Modern Builder
Rich Shortridge,Geospatial Associate Director,AtkinsRéalis
Richard Armstrong,Technical Manager,Drax
Richard Duffield,NUAR Discovery Lead,Geospatial: Government Digital Service
Richard Passe,Technical Visualisation,Skythorn Studios
Rob Fox,CEO & Founder,Supplyo
Rob Hine,Head of Commercial Partnerships,BSI
Rob Norton,UK Director,PlanRadar
Rob Stephen,"Vice President – Sales and Operations, EMEA",Newforma
Robert Cuijpers,Architect,"Powerhouse Company, NL"
Rohit Auluck,Industry Strategy Manager,Autodesk
Roisin Vance,Senior Digital Construction Manager,Kier Construction
Roman Baran,Construction Digital Manager,Canary Wharf Group
Ronen Vengosh,"Senior Vice President, Industry Practices & Solutions",Egnyte
Rui Costa,Digital Consultant,Bentley Systems
Rumen Dimov,Head of Digital Transformation,Cityscape Digital
Sagal Rooble,Digital Strategy Coordinator,Chetwoods
Sam Norledge,Head of Smart Buildings,LMG
Sam Pickering,Executive Director,The Instant Group
Samantha Downie,Managing Director,Mates in Mind
Sammy Newman,AI Business Partner / Data Scientist,Vinci Construction
Samuel Almond,Digital Construction Manager,Kier Construction
Sandy Powell,Learning & Development Technical Manager,Murphy Geospatial
Sarah Crawley,Co-Founder & Director,SymTerra
Sarah Driver,Production Lead – Surveying & Data Editing,Ordnance Survey
Sarah Hayes,Independent Consultant,Data Sharing Working Group
Sarah Thomas,Digital Director,NHS England – the New Hospital Programme
Sasha Reed,Senior Director Industry Transformation,Procore
Sean Cook,Managing Director,Urban & Regional
Sean Hickey,Site Engineer,Finna Construction
Shahida Rajabdeen,Regional Director,AtkinsRéalis
Shaun Farrell,Digital Delivery Excellence Lead,Buro Happold
Shilan Shakibapour,Business Developer,Relatics
Shivani Sivarajah,Product & Marketing Operations,The Modern Builder
Shrea Sreekumar,Carbon Coordinator,Skanska Costain STRABAG JV
Simon Elliott,CEO,1Breadcrumb
Simon Lewis,Nima Vice Chair,nima
Simon Navin,Head of Geospatial Services,Ordnance Survey
Simon Thompson,Managing Director,Evercam UK
Stephanie Boffey-Rawlings,Nuclear Digital Growth Lead,AtkinsRéalis
Steve Johnson,Director,Hilson Moran
Steve Rudge,UK AEC Technical & Delivery Manager,Symetri
Steve Wilson,IT Director,Henry Boot
Steven Boyd,Director,Longstone Consulting
Steven E,Director / Tutor / Consultant,GeoEnable / ICE / World Bank
Steven Frost,Head of Digital Solutions & Innovation,Milestone Infrastructure
Stu Collins,Deloitte,
Stuart Campbell,Senior Manager- AECO Enterprise,Trimble
Su Butcher,Director,Just Practising
Susan Brattberg,Founder & Chief Customer Officer,Global eTraining
Taffy Booth,Design Director,Studio Booth
Tara Anderson,Vice President of Customer Success,Newforma
Thomas Crossley,Automation & Data Lead,Kier Construction
Tim Whiteley,Founder,Inevidesk
Tina Fernandez,Founder & CEO,ConsoliDocs
Tom Carr,Structural Engineer Associate Director,BDP
Tom Herbert,Solution Consultant Leader,OpenSpace
Tom Simkins,Solution Architect,IFS
Tomas​​​​ Hollingsworth,Director of Technology,BW: Workplace Experts
Tony Harbour,"Director of Partnerships, EMEA",Procore Technologies
Trevor Steven,CEO,Mindflow
Trudy Betts,Head of IT Business Change,McLaren Construction
Umesh Bhutoria,Founder & CEO,Xempla
Urszula Kanturska,Technical Director Digital,Mott Macdonald
Vaisakh Krishnadas,Snr Digital Construction Manager,Sir Robert McAlpine
Varun Soni,Partner – Head of BIM & Digital,Property Smart Group
Vasileios Maligkos,Head of Digital Construction,CJ O'Shea
Veronica Friuli,Principal Consultant,Turner & Townsend
Vicki Reynolds,Technical Director – Digital Estates,One Creative Environments
Vicky Davenport,"Executive Vice President, EMEA",GRAITEC
Vitalij Tetervov,Founder,yBIM
Will Townsend,Senior Sustainability Manager,Sir Robert McAlpine
William Baker-Jones,Digital construction lead,"Kier Natural Resources, Nuclear & Networks"
Willow Williams,Global Education Lead,Women in BIM
Yara Badawy,Junior Consultant – Real Estate Digital,Turner & Townsend
Zora Rafiq,Principal Customer Success Manager,Egnyte
